order_id,order_delta_hour_t-1,order_delta_hour_t-2,order_delta_hour_t-3
1368424,12.0,-2.0,2.0
3418558,3.0,15.0,1.0
1402070,-2.0,1.0,13.0
2713728,-2.0,-4.0,-1.0
1206855,12.0,10.0,8.0
1673799,-7.0,5.0,3.0
1787014,2.0,-5.0,7.0
1290496,1.0,3.0,-4.0
1055328,-7.0,-6.0,-4.0
2198945,2.0,-5.0,-4.0
2215597,-2.0,0.0,-7.0
2252586,2.0,0.0,2.0
1567796,4.0,6.0,4.0
3156545,-8.0,-4.0,-2.0
2538875,9.0,1.0,5.0
2069896,-3.0,6.0,-2.0
731811,-2.0,-5.0,4.0
862411,0.0,-2.0,-5.0
2509306,2.0,2.0,0.0
1294331,0.0,2.0,2.0
2679247,-6.0,-6.0,-4.0
1580115,4.0,-2.0,-2.0
2215727,-2.0,2.0,-4.0
2991683,1.0,-1.0,3.0
2951950,4.0,5.0,3.0
1860997,-3.0,1.0,2.0
2026168,0.0,-3.0,1.0
3077829,2.0,2.0,-1.0
2440687,-4.0,-2.0,-2.0
2458776,3.0,-1.0,1.0
1065795,-4.0,-1.0,-5.0
1404633,3.0,-1.0,2.0
1798054,1.0,4.0,0.0
1011795,-1.0,0.0,3.0
2032669,-5.0,-6.0,-5.0
3157858,10.0,5.0,4.0
276843,-5.0,5.0,0.0
1196780,5.0,0.0,10.0
946323,-9.0,-4.0,-9.0
1660699,3.0,-6.0,-1.0
2059748,-3.0,0.0,-9.0
1344429,4.0,1.0,4.0
1463933,,,
2105650,3.0,,
2103776,-3.0,0.0,
174686,2.0,-1.0,2.0
1538861,-7.0,-5.0,-8.0
1749556,1.0,-6.0,-4.0
2323520,3.0,4.0,-3.0
2751361,3.0,6.0,7.0
1065225,-7.0,-4.0,-1.0
1038825,-9.0,-16.0,-13.0
2603211,11.0,2.0,-5.0
1703773,,,
1890315,6.0,,
861039,1.0,7.0,
2834045,1.0,2.0,8.0
1202373,-7.0,-6.0,-5.0
1729754,-2.0,-9.0,-8.0
244727,6.0,4.0,-3.0
1507868,-2.0,4.0,2.0
2480873,4.0,2.0,8.0
2170579,-6.0,-2.0,-4.0
3104533,12.0,6.0,10.0
650795,-7.0,5.0,-1.0
2042612,,,
2340385,-1.0,,
920532,5.0,4.0,
2995216,2.0,7.0,6.0
486230,-6.0,-4.0,1.0
2265264,5.0,-1.0,1.0
2998837,-2.0,3.0,-3.0
377040,5.0,3.0,8.0
2575204,-5.0,0.0,-2.0
950099,5.0,0.0,5.0
2805824,-6.0,-1.0,-6.0
331244,-2.0,-8.0,-3.0
2887186,4.0,2.0,-4.0
1401577,-2.0,2.0,0.0
1014359,5.0,3.0,7.0
2507193,-6.0,-1.0,-3.0
1589012,,,
2896144,-4.0,,
508890,6.0,2.0,
2476463,-6.0,0.0,-4.0
1977144,1.0,-5.0,1.0
1414713,4.0,5.0,-1.0
633627,0.0,4.0,5.0
2915296,-5.0,-5.0,-1.0
2699651,6.0,1.0,1.0
1337,-4.0,2.0,-3.0
1473056,0.0,-4.0,2.0
2106334,7.0,7.0,3.0
3119984,0.0,7.0,7.0
537310,-10.0,-10.0,-3.0
724125,3.0,-7.0,-7.0
2281244,-3.0,0.0,-10.0
2752117,3.0,0.0,3.0
100228,-3.0,0.0,-3.0
2790693,,,
53615,-7.0,,
1122312,2.0,-5.0,
1002804,11.0,13.0,6.0
1492787,0.0,11.0,13.0
967591,-11.0,-11.0,0.0
215952,10.0,-1.0,-1.0
1369474,2.0,12.0,1.0
2207011,-14.0,-12.0,-2.0
613974,10.0,-4.0,-2.0
1021139,4.0,14.0,0.0
499434,0.0,4.0,14.0
844210,-1.0,-1.0,3.0
2390766,1.0,0.0,0.0
1171882,-1.0,0.0,-1.0
1786769,0.0,-1.0,0.0
930411,-13.0,-13.0,-14.0
2719544,13.0,0.0,0.0
3303488,0.0,13.0,0.0
702904,-12.0,-12.0,1.0
287683,-1.0,-13.0,-13.0
60325,0.0,-1.0,-13.0
61174,0.0,0.0,-1.0
2042015,14.0,14.0,14.0
191935,-1.0,13.0,13.0
1778667,-10.0,-11.0,3.0
2814726,12.0,2.0,1.0
2275182,-1.0,11.0,1.0
564402,,,
1198550,1.0,,
400038,-1.0,0.0,
3159193,-7.0,-8.0,-7.0
83692,9.0,2.0,1.0
911854,,,
1486991,2.0,,
477315,2.0,4.0,
1940384,-5.0,-3.0,-1.0
513315,-7.0,-12.0,-10.0
694730,7.0,0.0,-5.0
1896038,-1.0,6.0,-1.0
1585103,3.0,2.0,9.0
2546869,1.0,4.0,3.0
2058985,-5.0,-4.0,-1.0
1737437,-7.0,-12.0,-11.0
3215057,8.0,1.0,-4.0
90358,3.0,11.0,4.0
1390725,-1.0,2.0,10.0
3267767,-1.0,-2.0,1.0
3003539,8.0,7.0,6.0
166331,-10.0,-2.0,-3.0
2120579,3.0,-7.0,1.0
2372298,-5.0,-2.0,-12.0
1254811,,,
1495721,3.0,,
3251928,-3.0,0.0,
6305,5.0,2.0,5.0
3032471,-6.0,-1.0,-4.0
1841183,,,
1639097,-3.0,,
1406211,0.0,-3.0,
1377518,8.0,8.0,5.0
3230717,-8.0,0.0,0.0
2554696,0.0,-8.0,0.0
3083220,,,
1775817,-5.0,,
943944,4.0,-1.0,
3068935,-2.0,2.0,-3.0
675315,0.0,-2.0,2.0
726694,2.0,2.0,0.0
1262654,2.0,4.0,4.0
1373590,-3.0,-1.0,1.0
659056,-6.0,-9.0,-7.0
1493036,5.0,-1.0,-4.0
1072960,-2.0,3.0,-3.0
1187856,-5.0,-7.0,-2.0
1869278,2.0,-3.0,-5.0
121783,5.0,7.0,2.0
2074150,0.0,5.0,7.0
2118252,-1.0,-1.0,4.0
1755854,-1.0,-2.0,-2.0
1118345,-3.0,-4.0,-5.0
128478,6.0,3.0,2.0
1862992,-1.0,5.0,2.0
1697389,0.0,-1.0,5.0
719510,1.0,1.0,0.0
2305272,0.0,1.0,1.0
2394629,-6.0,-6.0,-5.0
281122,,,
546953,-1.0,,
442498,-2.0,-3.0,
2225795,9.0,7.0,6.0
568780,3.0,12.0,10.0
2254799,-9.0,-6.0,3.0
1985754,6.0,-3.0,0.0
228327,,,
3355345,4.0,,
1900921,-8.0,-4.0,
2875085,4.0,-4.0,0.0
2483713,-1.0,3.0,-5.0
1233260,5.0,4.0,8.0
478335,-8.0,-3.0,-4.0
3319544,2.0,-6.0,-1.0
2012855,,,
233535,-3.0,,
620323,4.0,1.0,
884799,-7.0,-3.0,-6.0
280622,8.0,1.0,5.0
1766998,-8.0,0.0,-7.0
3103895,,,
1870978,-5.0,,
2236662,7.0,2.0,
3270703,-5.0,2.0,-3.0
2117198,6.0,1.0,8.0
1132190,,,
2803366,3.0,,
1776346,0.0,3.0,
2854014,-7.0,-7.0,-4.0
1866535,7.0,0.0,0.0
1172929,-4.0,3.0,-4.0
105204,4.0,0.0,7.0
2008424,1.0,5.0,1.0
3025904,,,
1110634,6.0,,
2002129,4.0,10.0,
2275349,-7.0,-3.0,3.0
2674092,4.0,-3.0,1.0
692599,2.0,6.0,-1.0
1762669,-11.0,-9.0,-5.0
2282386,4.0,-7.0,-5.0
1101448,-3.0,1.0,-10.0
2353320,1.0,-2.0,2.0
3397544,7.0,8.0,5.0
688909,-3.0,4.0,5.0
1880302,3.0,0.0,7.0
3355259,-7.0,-4.0,-7.0
799209,6.0,-1.0,2.0
3129931,-3.0,3.0,-4.0
726477,1.0,-2.0,4.0
2215055,4.0,5.0,2.0
1687307,0.0,4.0,5.0
2245988,-9.0,-9.0,-5.0
955549,8.0,-1.0,-1.0
2817912,0.0,8.0,-1.0
1672800,1.0,1.0,9.0
1049518,-2.0,-1.0,-1.0
1147498,4.0,2.0,3.0
1270914,-2.0,2.0,0.0
2606529,-4.0,-6.0,-2.0
2687422,5.0,1.0,-1.0
3271450,,,
2945859,5.0,,
2274068,-3.0,2.0,
3415514,-3.0,-6.0,-1.0
3040838,7.0,4.0,1.0
1396951,-5.0,2.0,-1.0
808448,6.0,1.0,8.0
2809378,,,
3077971,-2.0,,
782750,1.0,-1.0,
578768,0.0,1.0,-1.0
2891776,,,
768382,1.0,,
2349065,2.0,3.0,
1093090,3.0,5.0,6.0
3244182,-3.0,0.0,2.0
1276295,2.0,-1.0,2.0
3384213,1.0,3.0,0.0
2613481,-8.0,-7.0,-5.0
2627872,8.0,0.0,1.0
1741346,-3.0,5.0,-3.0
1240813,-13.0,-16.0,-8.0
2631268,6.0,-7.0,-10.0
2687148,,,
1312654,-2.0,,
1471766,0.0,-2.0,
2694307,4.0,4.0,2.0
1062860,-8.0,-4.0,-4.0
1896004,9.0,1.0,5.0
2665042,,,
3147908,-8.0,,
3235208,2.0,-6.0,
2111060,2.0,4.0,-4.0
2495644,4.0,6.0,8.0
3023362,,,
400667,3.0,,
2813040,-2.0,1.0,
2900254,-2.0,-4.0,-1.0
1597232,3.0,1.0,-1.0
431952,-2.0,1.0,-1.0
775372,0.0,-2.0,1.0
1845941,-3.0,-3.0,-5.0
2245640,-3.0,-6.0,-6.0
2379058,3.0,0.0,-3.0
399695,-2.0,1.0,-2.0
2475642,3.0,1.0,4.0
2818751,3.0,6.0,4.0
2239342,-1.0,2.0,5.0
2570401,-1.0,-2.0,1.0
1534910,,,
3287409,-10.0,,
323629,-11.0,-21.0,
718626,13.0,2.0,-8.0
2445833,-2.0,11.0,0.0
2570167,4.0,2.0,15.0
2416534,-3.0,1.0,-1.0
47789,4.0,1.0,5.0
310689,3.0,7.0,4.0
764887,-5.0,-2.0,2.0
300801,1.0,-4.0,-1.0
428422,-2.0,-1.0,-6.0
2619143,4.0,2.0,3.0
891597,-2.0,2.0,0.0
2786014,-4.0,-6.0,-2.0
561376,0.0,-4.0,-6.0
2163757,6.0,6.0,2.0
214977,2.0,8.0,8.0
2701848,-3.0,-1.0,5.0
3305941,2.0,-1.0,1.0
2359402,,,
1347917,3.0,,
1208797,-8.0,-5.0,
670037,3.0,-5.0,-2.0
1162853,5.0,8.0,0.0
3291836,0.0,5.0,8.0
2939125,1.0,1.0,6.0
824675,-10.0,-9.0,-9.0
1779671,9.0,-1.0,0.0
1263917,-9.0,0.0,-10.0
1907177,3.0,-6.0,3.0
182196,-11.0,-8.0,-17.0
3097048,8.0,-3.0,0.0
2395945,3.0,11.0,0.0
2608158,-1.0,2.0,10.0
1445037,5.0,4.0,7.0
1734158,-3.0,2.0,1.0
2254593,,,
3215701,7.0,,
155992,-10.0,-3.0,
2588104,12.0,2.0,9.0
232556,-3.0,9.0,-1.0
1475361,1.0,-2.0,10.0
990200,-5.0,-4.0,-7.0
767469,3.0,-2.0,-1.0
1241505,,,
3225909,5.0,,
3081590,-16.0,-11.0,
449793,16.0,0.0,5.0
798035,-5.0,11.0,-5.0
754223,-2.0,-7.0,9.0
3058170,5.0,3.0,-2.0
2508247,,,
2194542,4.0,,
3824,-4.0,0.0,
1708242,-1.0,-5.0,-1.0
1395850,-1.0,-2.0,-6.0
1103733,2.0,1.0,0.0
2230742,1.0,3.0,2.0
3094353,4.0,5.0,7.0
2333084,-8.0,-4.0,-3.0
585747,5.0,-3.0,1.0
1904552,-7.0,-2.0,-10.0
2306259,3.0,-4.0,1.0
3331839,-6.0,-3.0,-10.0
2083935,13.0,7.0,10.0
1802925,-6.0,7.0,1.0
1940379,5.0,-1.0,12.0
2045141,-1.0,4.0,-2.0
2563752,0.0,-1.0,4.0
1472986,-3.0,-3.0,-4.0
664833,-1.0,-4.0,-4.0
2775575,,,
2870675,-2.0,,
545921,-5.0,-7.0,
1924770,2.0,-3.0,-5.0
567535,0.0,2.0,-3.0
2967970,4.0,4.0,6.0
2192168,-5.0,-1.0,-1.0
1155268,0.0,-5.0,-1.0
3184060,,,
2751582,-1.0,,
1493217,-6.0,-7.0,
3412017,0.0,-6.0,-7.0
847875,,,
2401117,9.0,,
2046983,-14.0,-5.0,
3291612,2.0,-12.0,-3.0
676503,7.0,9.0,-5.0
1450098,-5.0,2.0,4.0
2372422,4.0,-1.0,6.0
1228772,-4.0,0.0,-5.0
1317494,0.0,-4.0,0.0
3121114,-1.0,-1.0,-5.0
296921,0.0,-1.0,-1.0
1133654,,,
7001,3.0,,
3408747,-2.0,1.0,
1614547,0.0,-2.0,1.0
3271004,21.0,21.0,19.0
899079,-21.0,0.0,0.0
570747,20.0,-1.0,20.0
2303526,-2.0,18.0,-3.0
2920688,-13.0,-15.0,5.0
141232,-5.0,-18.0,-20.0
1323930,20.0,15.0,2.0
3076156,0.0,20.0,15.0
1562889,2.0,2.0,22.0
492755,-4.0,-2.0,-2.0
1703890,-6.0,-10.0,-8.0
2204383,1.0,-5.0,-9.0
2360843,-12.0,-11.0,-17.0
2202564,18.0,6.0,7.0
527554,,,
2786931,-1.0,,
2800898,2.0,1.0,
1714691,0.0,2.0,1.0
1264427,-9.0,-9.0,-7.0
931988,-1.0,-10.0,-10.0
1551284,2.0,1.0,-8.0
648550,7.0,9.0,8.0
198218,-4.0,3.0,5.0
1032938,3.0,-1.0,6.0
176302,2.0,5.0,1.0
1471423,-5.0,-3.0,0.0
2712100,4.0,-1.0,1.0
2983173,-1.0,3.0,-2.0
1294817,-6.0,-7.0,-3.0
1053005,9.0,3.0,2.0
950496,-5.0,4.0,-2.0
1095154,0.0,-5.0,4.0
1585428,2.0,2.0,-3.0
1524737,2.0,4.0,4.0
2729603,-2.0,0.0,2.0
66706,-6.0,-8.0,-6.0
1080994,3.0,-3.0,-5.0
810414,-4.0,-1.0,-7.0
1358653,10.0,6.0,9.0
989229,-3.0,7.0,3.0
2386949,3.0,0.0,10.0
2355246,-2.0,1.0,-2.0
2153253,-9.0,-11.0,-8.0
2911294,8.0,-1.0,-3.0
1443699,-8.0,0.0,-9.0
927753,2.0,-6.0,2.0
2069171,4.0,6.0,-2.0
881336,-5.0,-1.0,1.0
3166292,,,
2078538,4.0,,
1727491,0.0,4.0,
1838067,-8.0,-8.0,-4.0
474309,0.0,-8.0,-8.0
1880365,1.0,1.0,-7.0
1164830,12.0,13.0,13.0
30890,-3.0,9.0,10.0
2680192,-1.0,-4.0,8.0
1929976,2.0,1.0,-2.0
1021154,,,
3401908,1.0,,
498954,-6.0,-5.0,
1666691,6.0,0.0,1.0
1067393,-6.0,0.0,-6.0
3341927,1.0,-5.0,1.0
267091,4.0,5.0,-1.0
1220739,-13.0,-9.0,-8.0
2153003,18.0,5.0,9.0
2171753,0.0,18.0,5.0
2384647,3.0,3.0,21.0
1292510,-2.0,1.0,1.0
3371489,-2.0,-4.0,-1.0
46003,1.0,-1.0,-3.0
3010189,1.0,2.0,0.0
168493,,,
3212241,-3.0,,
2900317,4.0,1.0,
918472,0.0,4.0,1.0
2378855,,,
1839167,1.0,,
858726,3.0,4.0,
2101574,-7.0,-4.0,-3.0
1591032,,,
1677658,-2.0,,
2493533,-2.0,-4.0,
1184619,1.0,-1.0,-3.0
3060890,-3.0,-2.0,-4.0
3310646,3.0,0.0,1.0
2345621,2.0,5.0,2.0
731766,-4.0,-2.0,1.0
1301143,3.0,-1.0,1.0
3003744,1.0,4.0,0.0
3281351,0.0,1.0,4.0
1633167,-10.0,-10.0,-9.0
1847185,12.0,2.0,2.0
1550380,-3.0,9.0,-1.0
2255012,-7.0,-10.0,2.0
1123157,10.0,3.0,0.0
3133165,-8.0,2.0,-5.0
555041,9.0,1.0,11.0
431877,,,
786479,-1.0,,
1540131,-4.0,-5.0,
1418690,0.0,-4.0,-5.0
2468236,1.0,1.0,-3.0
1444816,2.0,3.0,3.0
1059414,,,
1277517,-4.0,,
1103122,4.0,0.0,
621204,3.0,7.0,3.0
2271634,-2.0,1.0,5.0
72968,0.0,-2.0,1.0
3135321,-3.0,-3.0,-5.0
1404066,0.0,-3.0,-3.0
2766185,3.0,3.0,0.0
1325165,2.0,5.0,5.0
2405853,-1.0,1.0,4.0
2037961,-5.0,-6.0,-4.0
1231184,2.0,-3.0,-4.0
1356247,6.0,8.0,3.0
2772023,,,
1633098,-4.0,,
1486696,-2.0,-6.0,
2378442,-2.0,-4.0,-8.0
1232400,-1.0,-3.0,-5.0
634007,9.0,8.0,6.0
2183851,-12.0,-3.0,-4.0
3071492,2.0,-10.0,-1.0
154613,-1.0,1.0,-11.0
309970,-1.0,-2.0,0.0
2255401,0.0,-1.0,-2.0
2386321,,,
143329,5.0,,
2807742,-2.0,3.0,
2312661,-1.0,-3.0,2.0
1575684,0.0,-1.0,-3.0
3146475,-2.0,-2.0,-3.0
2568955,1.0,-1.0,-1.0
2083778,4.0,5.0,3.0
373220,,,
1689274,13.0,,
623622,-11.0,2.0,
2735359,-1.0,-12.0,1.0
636045,8.0,7.0,-4.0
1134984,-9.0,-1.0,-2.0
12428,5.0,-4.0,4.0
679542,2.0,7.0,-2.0
3153954,-5.0,-3.0,2.0
2850144,-1.0,-6.0,-4.0
1732046,2.0,1.0,-4.0
3032557,4.0,6.0,5.0
808053,,,
28721,-6.0,,
2032404,3.0,-3.0,
147695,1.0,4.0,-2.0
1427831,2.0,3.0,6.0
21075,-8.0,-6.0,-5.0
1583861,0.0,-8.0,-6.0
804334,6.0,6.0,-2.0
1649979,-3.0,3.0,3.0
934878,2.0,-1.0,5.0
3262055,-4.0,-2.0,-5.0
3026339,7.0,3.0,5.0
525516,-6.0,1.0,-3.0
3113704,-2.0,-8.0,-1.0
1834952,1.0,-1.0,-7.0
944325,5.0,6.0,4.0
1847694,-2.0,3.0,4.0
1945270,3.0,1.0,6.0
1891891,-5.0,-2.0,-4.0
1249168,5.0,0.0,3.0
1396674,-2.0,3.0,-2.0
2886752,-3.0,-5.0,0.0
2617615,0.0,-3.0,-5.0
2893858,0.0,0.0,-3.0
1778310,3.0,3.0,3.0
170478,2.0,5.0,5.0
766,-6.0,-4.0,-1.0
1067717,-1.0,-7.0,-5.0
659035,6.0,5.0,-1.0
872095,,,
510568,-2.0,,
2660833,-7.0,-9.0,
1486995,4.0,-3.0,-5.0
2627028,1.0,5.0,-2.0
425910,0.0,1.0,5.0
2694749,-6.0,-6.0,-5.0
378087,-1.0,-7.0,-7.0
2046606,3.0,2.0,-4.0
677447,3.0,6.0,5.0
2999883,-7.0,-4.0,-1.0
1537482,-1.0,-8.0,-5.0
2636119,1.0,0.0,-7.0
1210125,9.0,10.0,9.0
2412020,-6.0,3.0,4.0
1116342,9.0,3.0,12.0
3414174,-12.0,-3.0,-9.0
2290244,3.0,-9.0,0.0
717472,-2.0,1.0,-11.0
113993,2.0,0.0,3.0
2132706,4.0,6.0,4.0
2731920,-4.0,0.0,2.0
1502157,5.0,1.0,5.0
2629765,-9.0,-4.0,-8.0
3372604,4.0,-5.0,0.0
886962,-1.0,3.0,-6.0
3295725,5.0,4.0,8.0
2072386,-4.0,1.0,0.0
279403,-1.0,-5.0,0.0
3415824,1.0,0.0,-4.0
2513318,5.0,6.0,5.0
525686,-8.0,-3.0,-2.0
1069472,5.0,-3.0,2.0
42101,-2.0,3.0,-5.0
51456,-3.0,-5.0,0.0
497792,2.0,-1.0,-3.0
3038857,8.0,10.0,7.0
2952509,-8.0,0.0,2.0
824278,3.0,-5.0,3.0
304639,-3.0,0.0,-8.0
3048250,-1.0,-4.0,-1.0
2448695,-1.0,-2.0,-5.0
1058872,1.0,0.0,-1.0
238762,0.0,1.0,0.0
2644965,0.0,0.0,1.0
417784,0.0,0.0,0.0
16291,7.0,7.0,7.0
101238,-5.0,2.0,2.0
648650,-1.0,-6.0,1.0
2862884,-1.0,-2.0,-7.0
1881012,2.0,1.0,0.0
2133247,1.0,3.0,2.0
2870452,-2.0,-1.0,1.0
2232288,4.0,2.0,3.0
2405025,,,
2373958,0.0,,
1772857,-2.0,-2.0,
2909710,7.0,5.0,5.0
236304,-1.0,6.0,4.0
3064045,,,
2609804,15.0,,
361823,-9.0,6.0,
2126823,-3.0,-12.0,3.0
305168,3.0,0.0,-9.0
2881940,-7.0,-4.0,-7.0
322075,3.0,-4.0,-1.0
2026664,-2.0,1.0,-6.0
676855,2.0,0.0,3.0
2409643,,,
2303659,-2.0,,
2580467,-2.0,-4.0,
473854,8.0,6.0,4.0
1683171,-4.0,4.0,2.0
2854807,-3.0,-7.0,1.0
1923039,-4.0,-7.0,-11.0
2444217,6.0,2.0,-1.0
556825,3.0,9.0,5.0
1455562,-4.0,-1.0,5.0
405055,0.0,-4.0,-1.0
2183761,-1.0,-1.0,-5.0
1150351,6.0,5.0,5.0
206782,2.0,8.0,7.0
1678585,0.0,2.0,8.0
2343696,-3.0,-3.0,-1.0
2163239,-2.0,-5.0,-5.0
1320341,-5.0,-7.0,-10.0
1092855,12.0,7.0,5.0
2357089,-5.0,7.0,2.0
2327102,-6.0,-11.0,1.0
195002,0.0,-6.0,-11.0
2042811,5.0,5.0,-1.0
2944360,6.0,11.0,11.0
572513,-9.0,-3.0,2.0
3009045,,,
924511,-4.0,,
3368145,8.0,4.0,
3343013,-8.0,0.0,-4.0
1636637,4.0,-4.0,4.0
148610,9.0,13.0,5.0
618234,-16.0,-7.0,-3.0
101517,6.0,-10.0,-1.0
1015382,-6.0,0.0,-16.0
249779,9.0,3.0,9.0
276022,-16.0,-7.0,-13.0
2283463,13.0,-3.0,6.0
1807404,-7.0,6.0,-10.0
139595,4.0,-3.0,10.0
749953,-3.0,1.0,-6.0
53715,6.0,3.0,7.0
1252693,-3.0,3.0,0.0
2222125,10.0,7.0,13.0
3274837,-10.0,0.0,-3.0
1272261,10.0,0.0,10.0
2228717,-9.0,1.0,-9.0
2831384,9.0,0.0,10.0
1453824,-4.0,5.0,-4.0
114857,-1.0,-5.0,4.0
2610163,2.0,1.0,-3.0
675907,6.0,8.0,7.0
320652,-8.0,-2.0,0.0
694992,-9.0,-17.0,-11.0
494644,7.0,-2.0,-10.0
2788020,1.0,8.0,-1.0
1183886,-4.0,-3.0,4.0
620100,,,
580358,-3.0,,
1169974,1.0,-2.0,
393539,-3.0,-2.0,-5.0
2701751,7.0,4.0,5.0
308941,-12.0,-5.0,-8.0
3055076,5.0,-7.0,0.0
1946824,5.0,10.0,-2.0
2003230,-12.0,-7.0,-2.0
797928,11.0,-1.0,4.0
541373,-7.0,4.0,-8.0
193211,3.0,-4.0,7.0
1883498,-6.0,-3.0,-10.0
782292,,,
210393,-14.0,,
2837571,3.0,-11.0,
2578368,-12.0,-9.0,-23.0
1347184,10.0,-2.0,1.0
1217436,13.0,23.0,11.0
821250,,,
2925681,0.0,,
2881647,-1.0,-1.0,
3018008,1.0,0.0,0.0
1965395,-12.0,-11.0,-12.0
2742289,-7.0,-19.0,-18.0
480071,,,
1788656,3.0,,
2245619,-7.0,-4.0,
3161246,4.0,-3.0,0.0
2661409,1.0,5.0,-2.0
2824021,,,
2757075,-1.0,,
66442,0.0,-1.0,
818492,0.0,0.0,-1.0
1949985,-2.0,-2.0,-2.0
2646430,,,
2847611,-9.0,,
2435594,5.0,-4.0,
342826,5.0,10.0,1.0
486014,,,
1344724,3.0,,
460598,-6.0,-3.0,
622863,3.0,-3.0,0.0
2953303,-1.0,2.0,-4.0
474394,-3.0,-4.0,-1.0
2178077,6.0,3.0,2.0
3274128,0.0,6.0,3.0
2807379,2.0,2.0,8.0
2172724,0.0,2.0,2.0
469354,-1.0,-1.0,1.0
227323,-4.0,-5.0,-5.0
2148800,-2.0,-6.0,-7.0
1506166,4.0,2.0,-2.0
330222,2.0,6.0,4.0
2309232,3.0,5.0,9.0
2957173,-9.0,-6.0,-4.0
2961243,,,
3087057,-10.0,,
1709043,14.0,4.0,
1436028,1.0,15.0,5.0
1158195,-4.0,-3.0,11.0
191435,0.0,-4.0,-3.0
811524,-5.0,-5.0,-9.0
3068765,3.0,-2.0,-2.0
2471382,2.0,5.0,0.0
2050866,4.0,6.0,9.0
2014885,-4.0,0.0,2.0
1293380,-1.0,-5.0,-1.0
2344530,1.0,0.0,-4.0
1132065,-1.0,0.0,-1.0
2342863,-2.0,-3.0,-2.0
1681211,-8.0,-10.0,-11.0
36322,15.0,7.0,5.0
973928,-3.0,12.0,4.0
1399262,0.0,-3.0,12.0
2861351,3.0,3.0,0.0
2135736,-2.0,1.0,1.0
1333417,2.0,0.0,3.0
1202917,-6.0,-4.0,-6.0
1902734,14.0,8.0,10.0
3201985,-9.0,5.0,-1.0
3265644,-4.0,-13.0,1.0
1959057,1.0,-3.0,-12.0
495537,10.0,11.0,7.0
20283,-7.0,3.0,4.0
2972957,-3.0,-10.0,0.0
429809,4.0,1.0,-6.0
2191403,,,
355739,9.0,,
621150,0.0,9.0,
2776038,-6.0,-6.0,3.0
2141099,2.0,-4.0,-4.0
246674,-4.0,-2.0,-8.0
1441353,0.0,-4.0,-2.0
2185011,-1.0,-1.0,-5.0
2932309,,,
2090206,0.0,,
855204,4.0,4.0,
1230551,-3.0,1.0,1.0
627949,-1.0,-4.0,0.0
1404321,0.0,-1.0,-4.0
941465,6.0,6.0,5.0
1376762,-5.0,1.0,1.0
1825727,-3.0,-8.0,-2.0
78211,2.0,-1.0,-6.0
1037101,-1.0,1.0,-2.0
2016451,7.0,6.0,8.0
1297934,-8.0,-1.0,-2.0
1039587,2.0,-6.0,1.0
23976,6.0,8.0,0.0
2540749,-2.0,4.0,6.0
816522,-7.0,-9.0,-3.0
3255750,0.0,-7.0,-9.0
2604413,9.0,9.0,2.0
2422631,-6.0,3.0,3.0
2850774,-3.0,-9.0,0.0
588759,7.0,4.0,-2.0
366108,3.0,10.0,7.0
327028,-2.0,1.0,8.0
157258,-7.0,-9.0,-6.0
996544,0.0,-7.0,-9.0
1638710,2.0,2.0,-5.0
1042385,0.0,2.0,2.0
2195920,2.0,2.0,4.0
2882473,,,
1549576,-6.0,,
357518,8.0,2.0,
1940752,-3.0,5.0,-1.0
744270,-4.0,-7.0,1.0
1248689,4.0,0.0,-3.0
2349428,0.0,4.0,0.0
3220042,-4.0,-4.0,0.0
2378740,10.0,6.0,6.0
1240856,-1.0,9.0,5.0
340460,-4.0,-5.0,5.0
3350590,3.0,-1.0,-2.0
1325812,-4.0,-1.0,-5.0
2993072,10.0,6.0,9.0
3249084,-8.0,2.0,-2.0
3023396,,,
1299092,2.0,,
2759564,-2.0,0.0,
1211972,7.0,5.0,7.0
150108,-6.0,1.0,-1.0
2365145,7.0,1.0,8.0
2385772,-5.0,2.0,-4.0
2178208,-2.0,-7.0,0.0
325271,-1.0,-3.0,-8.0
77888,1.0,0.0,-2.0
754729,0.0,1.0,0.0
347565,-2.0,-2.0,-1.0
2172037,8.0,6.0,6.0
2925629,-1.0,7.0,5.0
782843,-3.0,-4.0,4.0
1344420,-2.0,-5.0,-6.0
492067,-7.0,-9.0,-12.0
2737332,11.0,4.0,2.0
2662756,-2.0,9.0,2.0
1140480,6.0,4.0,15.0
141125,-8.0,-2.0,-4.0
881537,-2.0,-10.0,-4.0
35450,5.0,3.0,-5.0
1802303,0.0,5.0,3.0
506427,-5.0,-5.0,0.0
1073021,2.0,-3.0,-3.0
2587669,5.0,7.0,2.0
2613923,-5.0,0.0,2.0
1785270,5.0,0.0,5.0
2651596,-4.0,1.0,-4.0
2970570,0.0,-4.0,1.0
1052239,5.0,5.0,1.0
2503729,,,
2945882,2.0,,
195235,-2.0,0.0,
1405549,-1.0,-3.0,-1.0
1316579,7.0,6.0,4.0
2038050,-7.0,0.0,-1.0
3303901,-5.0,-12.0,-5.0
34229,1.0,-4.0,-11.0
1252150,,,
442055,0.0,,
1465317,-1.0,-1.0,
1944787,0.0,-1.0,-1.0
1836838,2.0,2.0,1.0
241989,2.0,4.0,4.0
907051,-2.0,0.0,2.0
3144269,0.0,-2.0,0.0
3190085,-1.0,-1.0,-3.0
671513,2.0,1.0,1.0
791234,3.0,5.0,4.0
1465030,-5.0,-2.0,0.0
129130,2.0,-3.0,0.0
1100407,2.0,4.0,-1.0
